romA,addressA,romB,addressB,certainty,author,note,enabled
USA,0x55e6d,DEMO,0x55dc5,5,octorock,Pointer at USA 0x104,True
USA,0x55e6d,JP,0x55cf1,5,octorock,Pointer at USA 0x104,True
USA,0x7d46d,DEMO,0x7d081,5,octorock,Pointer at USA 0x140,True
USA,0x7d46d,JP,0x7d2a9,5,octorock,Pointer at USA 0x140,True
USA,0x7d281,DEMO,0x7ce95,5,octorock,Pointer at USA 0x13c,True
USA,0x7d281,JP,0x7d0bd,5,octorock,Pointer at USA 0x13c,True
USA,0x7d6d9,DEMO,0x7d2ed,5,octorock,Pointer at USA 0x144,False
USA,0x7d6d9,JP,0x7d515,5,octorock,Pointer at USA 0x144,False
USA,0xb7910,DEMO,0xb7494,5,octorock,Pointer at USA 0x210,True
USA,0xb7910,JP,0xb76b0,5,octorock,Pointer at USA 0x210,True
USA,0xb79a7,DEMO,0xb752b,5,octorock,Pointer at USA 0x214,False
USA,0xb79a7,JP,0xb7747,5,octorock,Pointer at USA 0x214,False
USA,0xb37a0,DEMO,0xb3324,5,octorock,Pointer at USA 0x218,True
USA,0xb37a0,JP,0xb3540,5,octorock,Pointer at USA 0x218,True
USA,0xb3e80,DEMO,0xb3a04,5,octorock,Pointer at USA 0x21c,False
USA,0xb3e80,JP,0xb3c20,5,octorock,Pointer at USA 0x21c,False
USA,0xd3bf8,DEMO,0xd377c,5,octorock,Pointer at USA 0x1358,False
USA,0xd3bf8,JP,0xd3998,5,octorock,Pointer at USA 0x1358,False
USA,0xaf18d,DEMO,0xaf10d,5,octorock,Pointer at USA 0x1370,True
USA,0xaf18d,JP,0xaef2d,5,octorock,Pointer at USA 0x1370,True
USA,0xaf1bd,DEMO,0xaf13d,5,octorock,Pointer at USA 0x1374,False
USA,0xaf1bd,JP,0xaef5d,5,octorock,Pointer at USA 0x1374,False
USA,0xc9160,DEMO,0xc8ce4,5,octorock,Pointer at USA 0x2978,False
USA,0xc9160,JP,0xc8f00,5,octorock,Pointer at USA 0x2978,False
USA,0xc91e0,DEMO,0xc8d64,5,octorock,Pointer at USA 0x297c,False
USA,0xc91e0,JP,0xc8f80,5,octorock,Pointer at USA 0x297c,False
USA,0x114f98,DEMO,0x114b1c,5,octorock,Pointer at USA 0x29c8,False
