address,name,file,length
0x0,__start,asm/crt0.o,0x4
0x4,RomHeaderNintendoLogo,asm/crt0.o,0xa8
0xac,RomHeaderGameCode,asm/crt0.o,0x10
0xbc,RomHeaderSoftwareVersion,asm/crt0.o,0x4c
0x108,sub_08000108,asm/code_08000108.o,0x40
0x148,sub_08000148,asm/code_08000108.o,0xa
0x152,sub_08000152,asm/code_08000108.o,0xc
0x15e,SetTile,asm/code_08000108.o,0x72
0x1d0,sub_080001D0,asm/code_08000108.o,0xa
0x1da,sub_080001DA,asm/code_08000108.o,0x4e
0x228,gUnk_08000228,asm/code_08000108.o,0x4
0x22c,gUnk_0800022C,asm/code_08000108.o,0x1c
0x248,gUnk_08000248,asm/code_08000108.o,0x10
0x258,gUnk_08000258,asm/code_08000108.o,0x20
0x278,gUnk_08000278,asm/code_08000108.o,0x10
0x288,GetTileAtEntityPos,asm/code_08000108.o,0x4
0x28c,sub_0800028C,asm/code_08000108.o,0x4
0x290,sub_08000290,asm/code_08000108.o,0x4
0x294,sub_08000294,asm/code_08000108.o,0x4
0x298,sub_08000298,asm/code_08000108.o,0x4
0x29c,sub_0800029C,asm/code_08000108.o,0x4
0x2a0,GetTileTypeByEntity,asm/code_08000108.o,0x4
0x2a4,GetTileTypeByPos,asm/code_08000108.o,0x4
0x2a8,sub_080002A8,asm/code_08000108.o,0x4
0x2ac,sub_080002AC,asm/code_08000108.o,0x4
0x2b0,GetTileType,asm/code_08000108.o,0x4
0x2b4,sub_080002B4,asm/code_08000108.o,0x4
0x2b8,sub_080002B8,asm/code_08000108.o,0x4
0x2bc,sub_080002BC,asm/code_08000108.o,0x4
0x2c0,sub_080002C0,asm/code_08000108.o,0x4
0x2c4,sub_080002C4,asm/code_08000108.o,0x4
0x2c8,sub_080002C8,asm/code_08000108.o,0x4
0x2cc,sub_080002CC,asm/code_08000108.o,0x4
0x2d0,sub_080002D0,asm/code_08000108.o,0x4
0x2d4,sub_080002D4,asm/code_08000108.o,0x4
0x2d8,sub_080002D8,asm/code_08000108.o,0x4
0x2dc,sub_080002DC,asm/code_08000108.o,0x4
0x2e0,sub_080002E0,asm/code_08000108.o,0x4
0x2e4,sub_080002E4,asm/code_08000108.o,0x4
0x2e8,sub_080002E8,asm/code_08000108.o,0x4
0x2ec,sub_080002EC,asm/code_08000108.o,0x4
0x2f0,sub_080002F0,asm/code_08000108.o,0x70
0x360,gUnk_08000360,data/data_08000360.o,0x98
0x3f8,gUnk_080003F8,data/data_08000360.o,0x8
0x400,gUnk_08000400,data/data_08000360.o,0x1
0x401,gUnk_08000401,data/data_08000360.o,0x1
0x402,gUnk_08000402,data/data_08000360.o,0x2
0x404,gUnk_08000404,data/data_08000360.o,0x2
0x406,gUnk_08000406,data/data_08000360.o,0x3
0x409,gUnk_08000409,data/data_08000360.o,0x3
0x40c,gUnk_0800040C,data/data_08000360.o,0x2
0x40e,gUnk_0800040E,data/data_08000360.o,0x1
0x40f,gUnk_0800040F,data/data_08000360.o,0x5
0x414,gUnk_08000414,data/data_08000360.o,0x1
0x415,gUnk_08000415,data/data_08000360.o,0x4
0x419,gUnk_08000419,data/data_08000360.o,0x7
0x420,gUnk_08000420,data/data_08000360.o,0x20
0x440,gUnk_08000440,data/data_08000360.o,0x40
0x480,gUnk_08000480,data/data_08000360.o,0x1
0x481,gUnk_08000481,data/data_08000360.o,0x85
0x506,gUnk_08000506,data/data_08000360.o,0x2
0x508,gUnk_08000508,data/data_08000360.o,0x1
0x509,gUnk_08000509,data/data_08000360.o,0x7
0x510,gUnk_08000510,data/data_08000360.o,0x17
0x527,gUnk_08000527,data/data_08000360.o,0x19
0x540,gUnk_08000540,data/data_08000360.o,0xb7
0x5f7,gUnk_080005F7,data/data_08000360.o,0x9
0x600,gUnk_08000600,data/data_08000360.o,0x4
0x604,gUnk_08000604,data/data_08000360.o,0x8
0x60c,gUnk_0800060C,data/data_08000360.o,0x4
0x610,gUnk_08000610,data/data_08000360.o,0xa
0x61a,gUnk_0800061A,data/data_08000360.o,0x6
0x620,gUnk_08000620,data/data_08000360.o,0x8
0x628,gUnk_08000628,data/data_08000360.o,0x8
0x630,gUnk_08000630,data/data_08000360.o,0x10
0x640,gUnk_08000640,data/data_08000360.o,0x40
0x680,gUnk_08000680,data/data_08000360.o,0x5
0x685,gUnk_08000685,data/data_08000360.o,0x1
0x686,gUnk_08000686,data/data_08000360.o,0x65
0x6eb,gUnk_080006EB,data/data_08000360.o,0x11
0x6fc,gUnk_080006FC,data/data_08000360.o,0x4
0x700,gUnk_08000700,data/data_08000360.o,0x1
0x701,gUnk_08000701,data/data_08000360.o,0x5
0x706,gUnk_08000706,data/data_08000360.o,0x2
0x708,gUnk_08000708,data/data_08000360.o,0x5
0x70d,gUnk_0800070D,data/data_08000360.o,0x2
